time,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,gt_px,gt_py,gt_pz,gt_vx,gt_vy,gt_vz,gt_qw,gt_qx,gt_qy,gt_qz,est_px,est_py,est_pz,est_vx,est_vy,est_vz,est_qw,est_qx,est_qy,est_qz,correction_applied,P_dpx,P_dpy,P_dpz,P_dvx,P_dvy,P_dvz,P_dtheta_x,P_dtheta_y,P_dtheta_z
5.0000000000e-03,2.2275467317e+01,-1.5035540946e+00,-9.8217362075e+00,-2.5388520963e-01,-1.1355630632e+00,-8.6761920820e-02,2.7063791332e-04,-8.1767930429e-06,5.3325335802e-02,1.0359276789e-01,-3.9886905155e-03,-8.4344024938e-02,9.9998983857e-01,-3.4996583657e-04,-4.4929703148e-03,-1.1614111863e-04,0.0000000000e+00,0.0000000000e+00,5.0000000000e-02,1.1137733658e-01,-7.5177704728e-03,-9.8158681038e-02,9.9999574535e-01,-6.3471212391e-04,-2.8389036317e-03,-2.1690449443e-04,0.0000000000e+00,1.0000002500e-04,1.0000002500e-04,1.0000002500e-04,1.7612751484e-06,5.5228111377e-06,4.8053927373e-06,3.0461743844e-04,3.0461743844e-04,3.0461743844e-04
1.0000000000e-02,1.3461222724e+01,-2.2283572301e+00,-5.5108581690e+00,-3.8430727714e-01,-2.0005716222e+00,-1.3927502721e-01,1.0607315128e-03,-5.6494844066e-05,5.2641901415e-02,1.8871031770e-01,-1.3965298824e-02,-1.6844838454e-01,9.9996110296e-01,-1.2047688487e-03,-8.7271552008e-03,-4.2172718733e-04,5.5688668292e-04,-3.7588852364e-05,4.9509206595e-02,1.7883392514e-01,-1.8723513785e-02,-1.7436620762e-01,9.9996783229e-01,-1.5955601476e-03,-7.8402653012e-03,-5.6463930533e-04,0.0000000000e+00,1.0000011903e-04,1.0000021307e-04,1.0000019513e-04,2.8974568440e-06,1.2532811389e-05,1.0867783388e-05,3.0461745710e-04,3.0461745710e-04,3.0461745710e-04
1.5000000000e-02,-3.7476955158e+00,-2.3781739613e-01,3.0672336722e+00,-2.9301176015e-01,-1.2932389342e+00,-1.6776324828e-01,2.1289785253e-03,-1.5994785725e-04,5.1600336540e-02,2.1434676503e-01,-2.4169995788e-02,-2.2867710730e-01,9.9990496404e-01,-2.1199095414e-03,-1.3598012529e-02,-8.1420277458e-04,2.2431220315e-03,-2.0577551132e-04,4.8339525112e-02,2.1382579861e-01,-2.4107744937e-02,-2.2847814545e-01,9.9991065373e-01,-1.7601107049e-04,-1.2446533108e-02,4.8721038400e-03,1.0000000000e+00,1.0000000855e-04,1.0000003307e-04,1.0000003101e-04,9.9157367250e-09,9.9889378886e-09,9.9791785689e-09,2.6709511511e-04,3.4608574574e-05,6.5655131155e-05
2.0000000000e-02,-3.9044344062e+00,8.6827503548e-02,1.0838628526e+01,-1.8324017762e-01,4.5863968383e-01,-1.8501997825e-01,3.1463037254e-03,-2.7881210397e-04,5.0415731088e-02,1.9621098975e-01,-2.3399851096e-02,-2.3737481797e-01,9.9989758019e-01,-2.6651958326e-03,-1.4004079597e-02,-1.2694977795e-03,3.3358038720e-03,-3.2433780825e-04,4.7089841940e-02,1.9471392703e-01,-2.3415218032e-02,-2.3290048260e-01,9.9973690399e-01,-4.5811998789e-03,-2.1989406117e-02,4.6477324917e-03,1.0000000000e+00,1.0000000696e-04,1.0000003388e-04,1.0000001001e-04,8.9302507988e-09,9.8294945568e-09,6.9002435711e-09,1.8550461135e-05,7.1469283600e-06,4.5215979241e-05
2.5000000000e-02,-1.2957160473e+01,1.0979513158e+00,3.0609001967e+01,-1.0684757699e-01,1.0548801862e+00,-1.4619299741e-01,4.0406403515e-03,-3.8235486776e-04,4.9318821254e-02,1.5811331379e-01,-1.8417947030e-02,-1.8944297945e-01,9.9992685682e-01,-3.0132038945e-03,-1.1588553460e-02,-1.7050025361e-03,4.4201770897e-03,-4.4679930389e-04,4.5722193990e-02,1.4704471749e-01,-1.7579686091e-02,-1.6626799726e-01,9.9997415358e-01,-6.6644577718e-03,-1.2405657647e-03,2.3954466595e-03,1.0000000000e+00,1.0000000760e-04,1.0000003398e-04,1.0000000647e-04,9.0150598518e-09,9.6659992320e-09,6.7761711207e-09,9.7814162006e-06,7.5285396356e-07,4.5779600964e-05
3.0000000000e-02,-8.6771826477e+00,6.7146664413e-01,2.4269456421e+01,-4.2923065849e-02,8.8858072519e-01,-8.6540704968e-02,4.6677560220e-03,-4.5565700376e-04,4.8628124980e-02,1.0624904893e-01,-1.2566872247e-02,-1.0761008738e-01,9.9995071469e-01,-3.1728173681e-03,-9.1948963003e-03,-1.9887927605e-03,5.1670473363e-03,-5.4078175500e-04,4.4851484131e-02,1.0468783198e-01,-1.2500371074e-02,-1.0251595265e-01,9.9994163850e-01,-9.1779861653e-03,-1.8231029301e-03,5.4000427159e-03,1.0000000000e+00,1.0000000781e-04,1.0000003248e-04,1.0000000669e-04,7.8365271044e-09,8.2941854770e-09,6.3681793708e-09,7.7704364434e-06,3.9903960514e-07,4.2258078797e-05
3.5000000000e-02,-5.7194983463e+00,2.8400413791e-01,1.9338310870e+01,2.3279791820e-03,7.1601945866e-01,-4.6871322746e-02,5.0885447757e-03,-5.0698458305e-04,4.8268110584e-02,7.1289315250e-02,-9.0740679063e-03,-5.1251372655e-02,9.9996636414e-01,-3.2043866986e-03,-7.2374011583e-03,-2.1500042511e-03,5.6842447654e-03,-6.0441805232e-04,4.4345069040e-02,7.2702203898e-02,-9.2339282924e-03,-5.2839557618e-02,9.9992664866e-01,-9.9867705752e-03,-2.4256157585e-03,6.4092201376e-03,1.0000000000e+00,1.0000000789e-04,1.0000002845e-04,1.0000000696e-04,7.1117221824e-09,7.7282654071e-09,6.2018773963e-09,5.8065714209e-06,2.8690073764e-07,3.5126387159e-05
4.0000000000e-02,-3.7345243018e+00,1.7120907657e-01,1.5852620201e+01,2.9123420973e-02,5.6568596321e-01,-2.2240662162e-02,5.3711878729e-03,-5.4597976906e-04,4.8129292253e-02,4.7924603161e-02,-7.1167754259e-03,-1.4247818950e-02,9.9997640838e-01,-3.1518267525e-03,-5.6799439988e-03,-2.2331403213e-03,6.0400964207e-03,-6.4410376736e-04,4.4097131320e-02,4.9951521488e-02,-7.1539047529e-03,-1.7638373687e-02,9.9995949513e-01,-8.1883654024e-03,-2.9337712684e-03,2.3133858759e-03,1.0000000000e+00,1.0000000792e-04,1.0000002386e-04,1.0000000721e-04,6.7116592949e-09,7.5092063379e-09,6.1316231197e-09,4.1349962135e-06,2.3108230704e-07,2.7267963357e-05
4.5000000000e-02,-2.4907005543e+00,3.9753571959e-01,1.3599221711e+01,2.3482941545e-02,4.3127360630e-01,-7.5228973763e-03,5.5617065832e-03,-5.7333186127e-04,4.8132527047e-02,3.2386343478e-02,-4.2739034991e-03,9.1095576687e-03,9.9998269418e-01,-3.0795420372e-03,-4.4701207174e-03,-2.2684316509e-03,6.2831702168e-03,-6.7537687767e-04,4.4023854517e-02,3.4112315526e-02,-4.2692972220e-03,5.9800145012e-03,9.9997128869e-01,-6.8699375624e-03,-3.1441282880e-03,-5.8328430327e-04,1.0000000000e+00,1.0000000799e-04,1.0000002013e-04,1.0000000745e-04,6.4915066982e-09,7.3504273785e-09,6.1035418488e-09,2.9487190204e-06,2.0058183918e-07,2.0898808856e-05
5.0000000000e-02,-1.6523074063e+00,2.4262307214e-01,1.1909175977e+01,1.2408152442e-02,3.2437379198e-01,4.1621355098e-03,5.6900961949e-03,-5.8769859450e-04,4.8222845073e-02,2.1735940592e-02,-2.0853002989e-03,2.3027731823e-02,9.9998648455e-01,-3.0377983454e-03,-3.5549906819e-03,-2.2725623335e-03,6.4477847991e-03,-6.9541193365e-04,4.4066041238e-02,2.3131048343e-02,-2.1540485661e-03,2.0416218989e-02,9.9997251220e-01,-6.5795912290e-03,-3.2015414724e-03,-1.1974795485e-03,1.0000000000e+00,1.0000000812e-04,1.0000001753e-04,1.0000000770e-04,6.3663604644e-09,7.1800309943e-09,6.0902114647e-09,2.1765155790e-06,1.8110254635e-07,1.6370522721e-05
