time,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,gt_imu_ax,gt_imu_ay,gt_imu_az,gt_imu_gx,gt_imu_gy,gt_imu_gz,gt_px,gt_py,gt_pz,gt_vx,gt_vy,gt_vz,gt_qw,gt_qx,gt_qy,gt_qz,est_px,est_py,est_pz,est_vx,est_vy,est_vz,est_qw,est_qx,est_qy,est_qz,correction_applied,P_dpx,P_dpy,P_dpz,P_dvx,P_dvy,P_dvz,P_dtheta_x,P_dtheta_y,P_dtheta_z
5.0000000000e-03,2.2272033044e+01,-1.4895017846e+00,-9.8366333326e+00,-2.5543470814e-01,-1.1331178519e+00,-8.4965033491e-02,2.2269550869e+01,-1.4833615552e+00,-9.8363071180e+00,-2.5469776349e-01,-1.1338775639e+00,-8.5636967944e-02,2.7063791332e-04,-8.1767930429e-06,5.3325335802e-02,1.0359276789e-01,-3.9886905155e-03,-8.4344024938e-02,9.9998983857e-01,-3.4996583657e-04,-4.4929703148e-03,-1.1614111863e-04,0.0000000000e+00,0.0000000000e+00,5.0000000000e-02,5.8816279070e-01,1.0362904707e-02,-6.5648569436e-01,9.9999999999e-01,2.0313846462e-06,-4.2137482487e-06,-2.8123821899e-06,0.0000000000e+00,1.0000002500e-04,1.0000002500e-04,1.0000002500e-04,1.1343930122e-04,2.1878455821e-04,1.0642010729e-04,3.0461743844e-04,3.0461743844e-04,3.0461743844e-04
1.0000000000e-02,1.3460022614e+01,-2.2003302600e+00,-5.5014546995e+00,-3.8431267525e-01,-2.0010127703e+00,-1.4077534034e-01,1.3458740549e+01,-2.2222170007e+00,-5.5105319544e+00,-3.8357033249e-01,-2.0013313341e+00,-1.3994696166e-01,1.0607315128e-03,-5.6494844066e-05,5.2641901415e-02,1.8871031770e-01,-1.3965298824e-02,-1.6844838454e-01,9.9996110296e-01,-1.2047688487e-03,-8.7271552008e-03,-4.2172718733e-04,2.9408139535e-03,5.1814523535e-05,4.6717571528e-02,6.9952332852e-01,2.9149692264e-03,-7.5471795280e-01,9.9999574993e-01,-6.3656156385e-04,-2.8370021302e-03,-2.1523309920e-04,0.0000000000e+00,1.0000291098e-04,1.0000554461e-04,1.0000273550e-04,1.3235636589e-04,2.8141309927e-04,1.5008075948e-04,3.0461745710e-04,3.0461745710e-04,3.0461745710e-04
1.5000000000e-02,-3.7319214143e+00,-2.6067350832e-01,3.0545670927e+00,-2.9285767243e-01,-1.2925013446e+00,-1.6706836763e-01,-3.7489775811e+00,-2.5970413685e-01,3.0581564173e+00,-2.9226941739e-01,-1.2935574981e+00,-1.6693486961e-01,2.1289785253e-03,-1.5994785725e-04,5.1600336540e-02,2.1434676503e-01,-2.4169995788e-02,-2.2867710730e-01,9.9990496404e-01,-2.1199095414e-03,-1.3598012529e-02,-8.1420277458e-04,6.4384305961e-03,6.6389369667e-05,4.2943981764e-02,7.6697364464e-01,-8.1504529508e-03,-8.3087889031e-01,9.9996783440e-01,-1.5974049556e-03,-7.8394713118e-03,-5.6670694133e-04,0.0000000000e+00,1.0001239570e-04,1.0002502179e-04,1.0001285494e-04,1.4345264395e-04,3.2262317099e-04,1.8023927256e-04,3.0461747576e-04,3.0461747576e-04,3.0461747576e-04
2.0000000000e-02,-3.9298070716e+00,8.0959779578e-02,1.0852553272e+01,-1.8233621546e-01,4.5794009008e-01,-1.8451429396e-01,-3.9214905729e+00,8.7796875021e-02,1.0842217851e+01,-1.8265192259e-01,4.5758353037e-01,-1.8488648023e-01,3.1463037254e-03,-2.7881210397e-04,5.0415731088e-02,1.9621098975e-01,-2.3399851096e-02,-2.3737481797e-01,9.9989758019e-01,-2.6651958326e-03,-1.4004079597e-02,-1.2694977795e-03,1.0273298819e-02,2.5637104913e-05,3.8789587313e-02,7.4807540669e-01,-9.3842040263e-03,-8.6494644503e-01,9.9993552135e-01,-2.3280721766e-03,-1.1070823300e-02,-9.8493849180e-04,0.0000000000e+00,1.0002929537e-04,1.0006144470e-04,1.0003255303e-04,1.3729607764e-04,3.0773828253e-04,1.7153355493e-04,3.0461749442e-04,3.0461749442e-04,3.0461749442e-04
2.5000000000e-02,-1.2907261316e+01,1.0968973760e+00,3.0588720738e+01,-1.0786630238e-01,1.0550557711e+00,-1.4558986451e-01,-1.2948843974e+01,1.1047884112e+00,3.0598666545e+01,-1.0716328412e-01,1.0545236265e+00,-1.4656518368e-01,4.0406403515e-03,-3.8235486776e-04,4.9318821254e-02,1.5811331379e-01,-1.8417947030e-02,-1.8944297945e-01,9.9992685682e-01,-3.0132038945e-03,-1.1588553460e-02,-1.7050025361e-03,1.4013675853e-02,-2.1283915218e-05,3.4464855088e-02,7.2723090349e-01,-8.6878971173e-03,-8.6018456800e-01,9.9994581464e-01,-2.7776467584e-03,-9.9266625716e-03,-1.4539053197e-03,0.0000000000e+00,1.0005276918e-04,1.0011259076e-04,1.0006045392e-04,1.1625952495e-04,2.7733795980e-04,1.6217154314e-04,3.0461751308e-04,3.0461751308e-04,3.0461751308e-04
3.0000000000e-02,-8.7209777325e+00,6.6304503318e-01,2.4263393936e+01,-4.1658000480e-02,8.8869067784e-01,-8.7046793160e-02,-8.7187653058e+00,6.7935767937e-01,2.4279402228e+01,-4.2220047589e-02,8.8804858056e-01,-8.7516024132e-02,4.6677560220e-03,-4.5565700376e-04,4.8628124980e-02,1.0624904893e-01,-1.2566872247e-02,-1.0761008738e-01,9.9995071469e-01,-3.1728173681e-03,-9.1948963003e-03,-1.9887927605e-03,1.7649830370e-02,-6.4723400805e-05,3.0163932248e-02,6.5968879856e-01,-2.1654124845e-03,-7.5763548611e-01,9.9996713837e-01,-3.0398397106e-03,-7.2897525884e-03,-1.8278579174e-03,0.0000000000e+00,1.0008043733e-04,1.0017532941e-04,1.0009580759e-04,6.6453178205e-05,1.9901799543e-04,1.3362422215e-04,3.0461753173e-04,3.0461753173e-04,3.0461753173e-04
3.5000000000e-02,-5.7302075893e+00,3.0482447478e-01,1.9356584757e+01,1.9548571514e-03,7.1613018870e-01,-4.7147389524e-02,-5.7172859197e+00,3.0031678410e-01,1.9354319162e+01,1.7659320726e-03,7.1537736138e-01,-4.7340553718e-02,5.0885447757e-03,-5.0698458305e-04,4.8268110584e-02,7.1289315250e-02,-9.0740679063e-03,-5.1251372655e-02,9.9996636414e-01,-3.2043866986e-03,-7.2374011583e-03,-2.1500042511e-03,2.0948274363e-02,-7.5550463228e-05,2.6375754817e-02,6.1433376660e-01,2.0479756162e-03,-6.8603992008e-01,9.9998012278e-01,-3.1383262418e-03,-5.0685537072e-03,-2.0529758816e-03,0.0000000000e+00,1.0010521060e-04,1.0023888419e-04,1.0013492350e-04,3.6840426959e-05,1.5180358538e-04,1.1603168659e-04,3.0461755039e-04,3.0461755039e-04,3.0461755039e-04
4.0000000000e-02,-3.7084207107e+00,1.6801351462e-01,1.5855968206e+01,2.9479865792e-02,5.6367429898e-01,-2.2709990321e-02,-3.7216026322e+00,1.6670138589e-01,1.5850354606e+01,2.8934495894e-02,5.6493313589e-01,-2.2433826357e-02,5.3711878729e-03,-5.4597976906e-04,4.8129292253e-02,4.7924603161e-02,-7.1167754259e-03,-1.4247818950e-02,9.9997640838e-01,-3.1518267525e-03,-5.6799439988e-03,-2.2331403213e-03,2.4019943196e-02,-6.5310585147e-05,2.2945555217e-02,5.8471091634e-01,4.2982559469e-03,-6.3861421204e-01,9.9998736094e-01,-3.1291612319e-03,-3.2786365671e-03,-2.1764324965e-03,0.0000000000e+00,1.0012577592e-04,1.0030152597e-04,1.0017738564e-04,1.9547387581e-05,1.2368645346e-04,1.0522571912e-04,3.0461756905e-04,3.0461756905e-04,3.0461756905e-04
4.5000000000e-02,-2.5130153254e+00,3.8381901079e-01,1.3588265894e+01,2.4229051446e-02,4.3178445172e-01,-6.4102377420e-03,-2.5038824759e+00,3.9622359086e-01,1.3593608111e+01,2.2937571647e-02,4.3253244322e-01,-7.2467334125e-03,5.5617065832e-03,-5.7333186127e-04,4.8132527047e-02,3.2386343478e-02,-4.2739034991e-03,9.1095576687e-03,9.9998269418e-01,-3.0795420372e-03,-4.4701207174e-03,-2.2684316509e-03,3.8576398305e-02,-1.5537625088e-04,3.9227965964e-02,6.1017059331e-01,1.9213713491e-03,-1.9721752219e-01,9.4159216668e-01,2.6268142930e-04,-3.3669285271e-01,-6.4842570888e-03,1.0000000000e+00,1.0001315161e-04,1.0007514952e-04,1.0001754312e-04,1.5571927424e-06,8.3014186823e-06,7.7137460178e-06,3.3959821329e-04,2.6483136540e-05,3.0103331345e-05
5.0000000000e-02,-1.6758494928e+00,2.4852545750e-01,1.1917678240e+01,1.1623110115e-02,3.2573621212e-01,4.0110125158e-03,-1.6431745568e+00,2.5502765222e-01,1.1914518194e+01,1.1116672643e-02,3.2512178348e-01,3.3256398393e-03,5.6900961949e-03,-5.8769859450e-04,4.8222845073e-02,2.1735940592e-02,-2.0853002989e-03,2.3027731823e-02,9.9998648455e-01,-3.0377983454e-03,-3.5549906819e-03,-2.2725623335e-03,4.0733485484e-02,2.2732775475e-04,4.1185654307e-02,5.1215506929e-01,3.9126453930e-03,-1.4823322735e-01,9.2831148581e-01,1.2872756258e-02,-3.7147963672e-01,-8.6577685418e-03,1.0000000000e+00,1.0000946150e-04,1.0007606175e-04,1.0001243163e-04,1.0323260459e-06,4.1300130118e-06,3.6840355436e-06,3.2134922447e-04,1.6880471257e-05,2.3084482018e-05
